date,state,dataQualityGrade,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
8/29/20,NM,B,769,,2,,3116,3116,67,10,,,727344,5109,,,,,,25178,,136,0,,,,,,12820,,0,752522,5245,,,,,,0,752522,5245
8/28/20,NM,B,767,,3,,3106,3106,72,15,,,722235,6789,,,,,,25042,,122,0,,,,,,12679,,0,747277,6911,,,,,,0,747277,6911
8/27/20,NM,B,764,,9,,3091,3091,68,17,,,715446,5958,,,,,,24920,,188,0,,,,,,12446,,0,740366,6146,,,,,,0,740366,6146
8/26/20,NM,B,755,,5,,3074,3074,71,24,,,709488,5396,,,,,,24732,,197,0,,,,,,12193,,0,734220,5593,,,,,,0,734220,5593
8/25/20,NM,B,750,,3,,3050,3050,64,9,,,704092,4760,,,,,,24535,,66,0,,,,,,11909,,0,728627,4826,,,,,,0,728627,4826
8/24/20,NM,B,747,,2,,3041,3041,68,10,,,699332,4428,,,,,,24469,,73,0,,,,,,11668,,0,723801,4501,,,,,,0,723801,4501
8/23/20,NM,B,745,,2,,3031,3031,64,1,,,694904,6885,,,,,,24396,,94,0,,,,,,11539,,0,719300,6979,,,,,,0,719300,6979
8/22/20,NM,B,743,,4,,3030,3030,68,12,,,688019,7159,,,,,,24302,,207,0,,,,,,11458,,0,712321,7366,,,,,,0,712321,7366
8/21/20,NM,B,739,,5,,3018,3018,65,9,,,680860,9987,,,,,,24095,,144,0,,,,,,11312,,0,704955,10131,,,,,,0,704955,10131
8/20/20,NM,B,734,,5,,3009,3009,74,7,,,670873,6127,,,,,,23951,,202,0,,,,,,11145,,0,694824,6329,,,,,,0,694824,6329
8/19/20,NM,B,729,,6,,3002,3002,94,4,,,664746,5272,,,,,,23749,,170,0,,,,,,10976,,0,688495,5442,,,,,,0,688495,5442
8/18/20,NM,B,723,,5,,2998,2998,111,14,,,659474,5824,,,,,,23579,,79,0,,,,,,10802,,0,683053,5903,,,,,,0,683053,5903
8/17/20,NM,B,718,,4,,2984,2984,119,19,,,653650,6485,,,,,,23500,,92,0,,,,,,10602,,0,677150,6577,,,,,,0,677150,6577
8/16/20,NM,B,714,,3,,2965,2965,109,8,,,647165,5176,,,,,,23408,,106,0,,,,,,10481,,0,670573,5282,,,,,,0,670573,5282
8/15/20,NM,B,711,,8,,2957,2957,113,11,,,641989,6107,,,,,,23302,,142,0,,,,,,10391,,0,665291,6249,,,,,,0,665291,6249
8/14/20,NM,B,703,,6,,2946,2946,125,18,,,635882,8378,,,,,,23160,,173,0,,,,,,10182,,0,659042,8551,,,,,,0,659042,8551
8/13/20,NM,B,697,,2,,2928,2928,128,21,,,627504,5497,,,,,,22987,,171,0,,,,,,9980,,0,650491,5668,,,,,,0,650491,5668
8/12/20,NM,B,695,,2,,2907,2907,119,10,,,622007,4313,,,,,,22816,,173,0,,,,,,9744,,0,644823,4486,,,,,,0,644823,4486
8/11/20,NM,B,693,,3,,2897,2897,134,27,,,617694,7141,,,,,,22643,,199,0,,,,,,9612,,0,640337,7340,,,,,,0,640337,7340
8/10/20,NM,B,690,,5,,2870,2870,127,19,,,610553,5241,,,,,,22444,,129,0,,,,,,9428,,0,632997,5370,,,,,,0,632997,5370
8/9/20,NM,B,685,,4,,2851,2851,121,13,,,605312,7299,,,,,,22315,,200,0,,,,,,9319,,0,627627,7499,,,,,,0,627627,7499
8/8/20,NM,B,681,,6,,2838,2838,127,19,,,598013,7124,,,,,,22115,,150,0,,,,,,9262,,0,620128,7274,,,,,,0,620128,7274
8/7/20,NM,B,675,,6,,2819,2819,132,16,,,590889,8280,,,,,,21965,,192,0,,,,,,9166,,0,612854,8472,,,,,,0,612854,8472
8/6/20,NM,B,669,,2,,2803,2803,138,22,,,582609,6767,,,,,,21773,,207,0,,,,,,8950,,0,604382,6974,,,,,,0,604382,6974
8/5/20,NM,B,667,,9,,2781,2781,138,28,,,575842,6357,,,,,,21566,,226,0,,,,,,8828,,0,597408,6583,,,,,,0,597408,6583
8/4/20,NM,B,658,,3,,2753,2753,133,23,,,569485,12805,,,,,,21340,,210,0,,,,,,8685,,0,590825,13015,,,,,,0,590825,13015
8/3/20,NM,B,655,,1,,2730,2730,131,10,,,556680,3443,,,,,,21130,,114,0,,,,,,8463,,0,577810,3557,,,,,,0,577810,3557
8/2/20,NM,B,654,,3,,2720,2720,127,17,,,553237,8147,,,,,,21016,,220,0,,,,,,8343,,0,574253,8367,,,,,,0,574253,8367
8/1/20,NM,B,651,,9,,2703,2703,134,17,,,545090,7678,,,,,,20796,,196,0,,,,,,8286,,0,565886,7874,,,,,,0,565886,7874
7/31/20,NM,B,642,,7,,2686,2686,152,19,,,537412,6163,,,,,,20600,,212,0,,,,,,8139,,0,558012,6375,,,,,,0,558012,6375
7/30/20,NM,B,635,,3,,2667,2667,156,24,,,531249,6774,,,,,,20388,,252,0,,,,,,8015,,0,551637,7026,,,,,,0,551637,7026
7/29/20,NM,B,632,,6,,2643,2643,158,29,,,524475,7413,,,,,,20136,,345,0,,,,,,7817,,0,544611,7758,,,,,,0,544611,7758
7/28/20,NM,B,626,,7,,2614,2614,160,24,,,517062,7674,,,,,,19791,,289,0,,,,,,7657,,0,536853,7963,,,,,,0,536853,7963
7/27/20,NM,B,619,,5,,2590,2590,159,30,,,509388,7712,,,,,,19502,,460,0,,,,,,7459,,0,528890,8172,,,,,,0,528890,8172
7/26/20,NM,B,614,,7,,2560,2560,144,18,,,501676,8039,,,,,,19042,,254,0,,,,,,7349,,0,520718,8293,,,,,,0,520718,8293
7/25/20,NM,B,607,,6,,2542,2542,148,17,,,493637,6935,,,,,,18788,,313,0,,,,,,7268,,0,512425,7248,,,,,,0,512425,7248
7/24/20,NM,B,601,,5,,2525,2525,161,25,,,486702,7880,,,,,,18475,,312,0,,,,,,7156,,0,505177,8192,,,,,,0,505177,8192
7/23/20,NM,B,596,,5,,2500,2500,167,30,,,478822,7316,,,,,,18163,,335,0,,,,,,7056,,0,496985,7651,,,,,,0,496985,7651
7/22/20,NM,B,591,,3,,2470,2470,178,37,,,471506,7492,,,,,,17828,,311,0,,,,,,6974,,0,489334,7803,,,,,,0,489334,7803
7/21/20,NM,B,588,,10,,2433,2433,154,34,,,464014,4732,,,,,,17517,,302,0,,,,,,6870,,0,481531,5034,,,,,,0,481531,5034
7/20/20,NM,B,578,,7,,2399,2399,154,12,,,459282,7038,,,,,,17215,,244,0,,,,,,6814,,0,476497,7282,,,,,,0,476497,7282
7/19/20,NM,B,571,,2,,2387,2387,161,23,,,452244,8316,,,,,,16971,,235,0,,,,,,6764,,0,469215,8551,,,,,,0,469215,8551
7/18/20,NM,B,569,,4,,2364,2364,160,27,,,443928,8086,,,,,,16736,,280,0,,,,,,6736,,0,460664,8366,,,,,,0,460664,8366
7/17/20,NM,B,565,,3,,2337,2337,166,25,,,435842,8612,,,,,,16456,,318,0,,,,,,6654,,0,452298,8930,,,,,,0,452298,8930
7/16/20,NM,B,562,,5,,2312,2312,170,28,,,427230,6066,,,,,,16138,,297,0,,,,,,6578,,0,443368,6363,,,,,,0,443368,6363
7/15/20,NM,B,557,,6,,2284,2284,174,23,,,421164,6672,,,,,,15841,,327,0,,,,,,6496,,0,437005,6999,,,,,,0,437005,6999
7/14/20,NM,B,551,,3,,2261,2261,171,34,,,414492,5428,,,,,,15514,,223,0,,,,,,6429,,0,430006,5651,,,,,,0,430006,5651
7/13/20,NM,B,548,,3,,2227,2227,172,23,,,409064,5735,,,,,,15291,,263,0,,,,,,6363,,0,424355,5998,,,,,,0,424355,5998
7/12/20,NM,B,545,,2,,2204,2204,170,17,,,403329,7348,,,,,,15028,,255,0,,,,,,6322,,0,418357,7603,,,,,,0,418357,7603
7/11/20,NM,B,543,,4,,2187,2187,158,26,,,395981,6949,,,,,,14773,,224,0,,,,,,6271,,0,410754,7173,,,,,,0,410754,7173
7/10/20,NM,B,539,,6,,2161,2161,151,24,,,389032,7402,,,,,,14549,,298,0,,,,,,6181,,0,403581,7700,,,,,,0,403581,7700
7/9/20,NM,B,533,,6,,2137,2137,154,36,,,381630,5960,,,,,,14251,,234,0,,,,,,6118,,0,395881,6194,,,,,,0,395881,6194
7/8/20,NM,B,527,,8,,2101,2101,154,45,,,375670,4155,,,,,,14017,,290,0,,,,,,6051,,0,389687,4445,,,,,,0,389687,4445
7/7/20,NM,B,519,,4,,2056,2056,133,23,,,371515,4782,,,,,,13727,,220,0,,,,,,5986,,0,385242,5002,,,,,,0,385242,5002
7/6/20,NM,B,515,,2,,2033,2033,129,27,,,366733,4935,,,,,,13507,,251,0,,,,,,5902,,0,380240,5186,,,,,,0,380240,5186
7/5/20,NM,B,513,,0,,2006,2006,119,18,,,361798,2573,,,,,,13256,,193,0,,,,,,5860,,0,375054,2766,,,,,,0,375054,2766
7/4/20,NM,B,513,,2,,1988,1988,121,18,,,359225,8627,,,,,,13063,,287,0,,,,,,5845,,0,372288,8914,,,,,,0,372288,8914
7/3/20,NM,B,511,,8,,1970,1970,130,25,,,350598,6481,,,,,,12776,,256,0,,,,,,5802,,0,363374,6737,,,,,,0,363374,6737
7/2/20,NM,B,503,,3,,1945,1945,127,17,,,344117,6333,,,,,,12520,,244,0,,,,,,5627,,0,356637,6577,,,,,,0,356637,6577
7/1/20,NM,B,500,,3,,1928,1928,127,26,,,337784,5750,,,,,,12276,,129,0,,,,,,5514,,0,350060,5879,,,,,,0,350060,5879
6/30/20,NM,B,497,,4,,1902,1902,127,26,,,332034,6296,,,,,,12147,,165,0,,,,,,5393,,0,344181,6461,,,,,,0,344181,6461
6/29/20,NM,B,493,,1,,1876,1876,119,11,,,325738,6499,,,,,,11982,,173,0,,,,,,5296,,0,337720,6672,,,,,,0,337720,6672
6/28/20,NM,B,492,,1,,1865,1865,114,14,,,319239,7899,,,,,,11809,,190,0,,,,,,5264,,0,331048,8089,,,,,,0,331048,8089
6/27/20,NM,B,491,,2,,1851,1851,122,23,,,311340,2110,,,,,,11619,,211,0,,,,,,5251,,0,322959,2321,,,,,,0,322959,2321
6/26/20,NM,B,489,,4,,1828,1828,128,17,,,309230,5752,,,,,,11408,,216,0,,,,,,5149,,0,320638,5968,,,,,,0,320638,5968
6/25/20,NM,B,485,,5,,1811,1811,135,18,,,303478,6363,,,,,,11192,,202,0,,,,,,5047,,0,314670,6565,,,,,,0,314670,6565
6/24/20,NM,B,480,,4,,1793,1793,149,17,,,297115,5870,,,,,,10990,,152,0,,,,,,4984,,0,308105,6022,,,,,,0,308105,6022
6/23/20,NM,B,476,,7,,1776,1776,141,22,,,291245,3863,,,,,,10838,,144,0,,,,,,4874,,0,302083,4007,,,,,,0,302083,4007
6/22/20,NM,C,469,,0,,1754,1754,139,8,,,287382,4516,,,,,,10694,,129,0,,,,,,4742,,0,298076,4645,,,,,,0,298076,4645
6/21/20,NM,C,469,,3,,1746,1746,134,6,,,282866,4659,,,,,,10565,,135,0,,,,,,4684,,0,293431,4794,,,,,,0,293431,4794
6/20/20,NM,C,466,,2,,1740,1740,145,5,,,278207,3865,,,,,,10430,,170,0,,,,,,4628,,0,288637,4035,,,,,,0,288637,4035
6/19/20,NM,C,464,,8,,1735,1735,147,9,,,274342,8598,,,,,,10260,,107,0,,,,,,4512,,0,284602,8705,,,,,,0,284602,8705
6/18/20,NM,C,456,,4,,1726,1726,157,11,,,265744,-88,,,,,,10153,,88,0,,,,,,4439,,0,275897,0,,,,,,0,275897,0
6/17/20,NM,C,452,,5,,1715,1715,161,17,,,265832,4212,,,,,,10065,,132,0,,,,,,4351,,0,275897,4344,,,,,,0,275897,4344
6/16/20,NM,C,447,,7,,1698,1698,156,12,,,261620,3544,,,,,,9933,,88,0,,,,,,4217,,0,271553,3632,,,,,,0,271553,3632
6/15/20,NM,C,440,,5,,1686,1686,161,61,,,258076,4134,,,,,,9845,,122,0,,,,,,4160,,0,267921,4256,,,,,,0,267921,4256
6/14/20,NM,C,435,,4,,1625,1625,162,0,,,253942,4569,,,,,,9723,,102,0,,,,,,4114,,0,263665,4671,,,,,,0,263665,4671
6/13/20,NM,C,431,,5,,1625,1625,172,0,,,249373,3615,,,,,,9621,,95,0,,,,,,4072,,0,258994,3710,,,,,,0,258994,3710
6/12/20,NM,C,426,,6,,1625,1625,179,0,,,245758,4245,,,,,,9526,,159,0,,,,,,3983,,0,255284,4404,,,,,,0,255284,4404
6/11/20,NM,C,420,,10,,1625,1625,183,42,,,241513,5206,,,,,,9367,,117,0,,,,,,3380,,0,250880,5323,,,,,,0,250880,5323
6/10/20,NM,C,410,,6,,1583,1583,197,0,,,236307,3755,,,,,,9250,,145,0,,,,,,3806,,0,245557,3900,,,,,,0,245557,3900
6/9/20,NM,C,404,,4,,1583,1583,193,25,,,232552,2813,,,,,,9105,,43,0,,,,,,3699,,0,241657,2856,,,,,,0,241657,2856
6/8/20,NM,C,400,,4,,1558,1558,183,25,,,229739,4304,,,,,,9062,,122,0,,,,,,3380,,0,238801,4426,,,,,,0,238801,4426
6/7/20,NM,C,396,,4,,1533,1533,177,44,,,225435,5088,,,,,,8940,,140,0,,,,,,3307,,0,234375,5228,,,,,,0,234375,5228
6/6/20,NM,C,392,,5,,1489,1489,176,0,,,220347,4379,,,,,,8800,,128,0,,,,,,3286,,0,229147,4507,,,,,,0,229147,4507
6/5/20,NM,C,387,,4,,1489,1489,175,73,,,215968,6564,,,,,,8672,,319,0,,,,,,3206,,0,224640,6883,,,,,,0,224640,6883
6/4/20,NM,C,383,,8,,1416,1416,170,0,,,209404,4548,,,,,,8353,,213,0,,,,,,3115,,0,217757,4761,,,,,,0,217757,4761
6/3/20,NM,C,375,,8,,1416,1416,170,0,,,204856,6043,,,,,,8140,,116,0,,,,,,3013,,0,212996,6159,,,,,,0,212996,6159
6/2/20,NM,C,367,,5,,1416,1416,182,99,,,198813,3498,,,,,,8024,,224,0,,,,,,2960,,0,206837,3722,,,,,,0,206837,3722
6/1/20,NM,C,362,,6,,1317,1317,191,0,,,195315,3400,,,,,,7800,,111,0,,,,,,2888,,0,203115,3511,,,,,,0,203115,3511
5/31/20,NM,C,356,,5,,1317,1317,182,0,,,191915,5092,,,,,,7689,,65,0,,,,,,2853,,0,199604,5157,,,,,,0,199604,5157
5/30/20,NM,C,351,,7,,1317,1317,189,0,,,186823,6055,,,,,,7624,,131,0,,,,,,2835,,0,194447,6186,,,,,,0,194447,6186
5/29/20,NM,C,344,,9,,1317,1317,193,0,,,180768,4588,,,,,,7493,,129,0,,,,,,2728,,0,188261,4717,,,,,,0,188261,4717
5/28/20,NM,C,335,,6,,1317,1317,196,35,,,176180,3889,,,,,,7364,,112,0,,,,,,2684,,0,183544,4001,,,,,,0,183544,4001
5/27/20,NM,C,329,,4,,1282,1282,210,0,,,172291,-1225,,,,,,7252,,122,0,,,,,,2638,,0,179543,-1103,,,,,,0,179543,-1103
5/26/20,NM,C,325,,5,,1282,1282,211,18,,,173516,3181,,,,,,7130,,104,0,,,,,,2564,,0,180646,3285,,,,,,0,180646,3285
5/25/20,NM,C,320,,3,,1264,1264,216,21,,,170335,3797,,,,,,7026,,83,0,,,,,,2522,,0,177361,3880,,,,,,0,177361,3880
5/24/20,NM,C,317,,9,,1243,1243,213,104,,,166538,4214,,,,,,6943,,148,0,,,,,,2464,,0,173481,4362,,,,,,0,173481,4362
5/23/20,NM,C,308,,6,,1139,1139,208,0,,,162324,10566,,,,,,6795,,170,0,,,,,,2357,,0,169119,10736,,,,,,0,169119,10736
5/22/20,NM,C,302,,8,,1139,1139,206,0,,,151758,5463,,,,,,6625,,153,0,,,,,,2149,,0,158383,5616,,,,,,0,158383,5616
5/21/20,NM,C,294,,11,,1139,1139,205,0,,,146295,5268,,,,,,6472,,155,0,,,,,,2041,,0,152767,5423,,,,,,0,152767,5423
5/20/20,NM,C,283,,7,,1139,1139,206,253,,,141027,4973,,,,,,6317,,125,0,,,,,,1985,,0,147344,5098,,,,,,0,147344,5098
5/19/20,NM,C,276,,6,,886,886,204,0,,,136054,4530,,,,,,6192,,96,0,,,,,,1882,,0,142246,4626,,,,,,0,142246,4626
5/18/20,NM,C,270,,5,,886,886,213,0,,,131524,4209,,,,,,6096,,158,0,,,,,,1796,,0,137620,4367,,,,,,0,137620,4367
5/17/20,NM,C,265,,6,,886,886,211,0,,,127315,4588,,,,,,5938,,91,0,,,,,,1755,,0,133253,4679,,,,,,0,133253,4679
5/16/20,NM,C,259,,6,,886,886,208,0,,,122727,3931,,,,,,5847,,185,0,,,,,,1739,,0,128574,4116,,,,,,0,128574,4116
5/15/20,NM,C,253,,11,,886,886,223,0,,,118796,4698,,,,,,5662,,159,0,,,,,,1671,,0,124458,4857,,,,,,0,124458,4857
5/14/20,NM,C,242,,11,,886,886,209,0,,,114098,4451,,,,,,5503,,139,0,,,,,,1576,,0,119601,4590,,,,,,0,119601,4590
5/13/20,NM,C,231,,12,,886,886,200,0,,,109647,4570,,,,,,5364,,152,0,,,,,,1515,,0,115011,4722,,,,,,0,115011,4722
5/12/20,NM,C,219,,11,,886,886,199,0,,,105077,3425,,,,,,5212,,143,0,,,,,,1434,,0,110289,3568,,,,,,0,110289,110289
5/11/20,NM,C,208,,8,,886,886,207,97,,,101652,4017,,,,,,5069,,206,0,,,,,,1300,,0,106721,4223,,,,,,0,,0
5/10/20,NM,C,200,,9,,789,789,194,0,,,97635,5360,,,,,,4863,,85,0,,,,,,1285,,0,102498,5445,,,,,,0,,0
5/9/20,NM,C,191,,10,,789,789,198,0,,,92275,3686,,,,,,4778,,105,0,,,,,,1268,,0,97053,3791,,,,,,0,,0
5/8/20,NM,C,181,,9,,789,789,201,29,,,88589,4050,,,,,,4673,,180,0,,,,,,1189,,0,93262,4230,,,,,,0,,0
5/7/20,NM,C,172,,3,,760,760,197,73,,,84539,3146,,,,,,4493,,202,0,,,,,,1125,,0,89032,3348,,,,,,0,,0
5/6/20,NM,C,169,,7,,687,687,193,0,,,81393,2280,,,,,,4291,,153,0,,,,,,1073,,0,85684,2433,,,,,,0,,0
5/5/20,NM,C,162,,6,,687,687,178,20,,,79113,1424,,,,,,4138,,107,0,,,,,,964,,0,83251,1531,,,,,,0,,0
5/4/20,NM,C,156,,5,,667,667,181,80,,,77689,3562,,,,,,4031,,181,0,,,,,,842,,0,81720,3743,,,,,,0,,0
5/3/20,NM,C,151,,12,,587,587,164,0,,,74127,2915,,,,,,3850,,118,0,,,,,,832,,0,77977,3033,,,,,,0,,0
5/2/20,NM,C,139,,8,,587,587,168,0,,,71212,3607,,,,,,3732,,219,0,,,,,,812,,0,74944,3826,,,,,,0,,0
5/1/20,NM,C,131,,8,,587,587,159,51,,,67605,3147,,,,,,3513,,102,0,,,,,,785,,0,71118,3249,,,,,,0,,0
4/30/20,NM,C,123,,11,,536,536,172,0,,,64458,2586,,,,,,3411,,198,0,,,,,,760,,0,67869,2784,,,,,,0,,0
4/29/20,NM,C,112,,2,,536,536,163,27,,,61872,3101,,,,,,3213,,239,0,,,,,,734,,0,65085,3340,,,,,,0,,0
4/28/20,NM,C,110,,6,,509,509,157,28,,,58771,2791,,,,,,2974,,151,0,,,,,,705,,0,61745,2942,,,,,,0,,0
4/27/20,NM,C,104,,5,,481,481,155,69,,,55980,2091,,,,,,2823,,97,0,,,,,,666,,0,58803,2188,,,,,,0,,0
4/26/20,NM,C,99,,6,,412,412,148,0,,,53889,2814,,,,,,2726,,66,0,,,,,,650,,0,56615,2880,,,,,,0,,0
4/25/20,NM,C,93,,9,,412,412,152,0,,,51075,2086,,,,,,2660,,139,0,,,,,,614,,0,53735,2225,,,,,,0,,0
4/24/20,NM,C,84,,6,,412,412,152,45,,,48989,4805,,,,,,2521,,142,0,,,,,,614,,0,51510,4947,,,,,,0,,0
4/23/20,NM,A,78,,7,,367,367,123,36,,,44184,5162,,,,,,2379,,169,0,,,,,,573,,0,46563,5331,,,,,,0,,0
4/22/20,NM,A,71,,6,,331,331,121,25,,,39022,217,,,,,,2210,,138,0,,,,,,547,,0,41232,355,,,,,,0,,0
4/21/20,NM,A,65,,7,,306,306,119,15,,,38805,2021,,,,,,2072,,101,0,,,,,,529,,0,40877,2122,,,,,,0,,0
4/20/20,NM,A,58,,3,,291,291,116,17,,,36784,1587,,,,,,1971,,126,0,,,,,,501,,0,38755,1713,,,,,,0,,0
4/19/20,NM,A,55,,2,,274,274,103,16,,,35197,363,,,,,,1845,,47,0,,,,,,487,,0,37042,410,,,,,,0,,0
4/18/20,NM,A,53,,2,,258,258,92,16,,,34834,932,,,,,,1798,,87,0,,,,,,465,,0,36632,1019,,,,,,0,,0
4/17/20,NM,A,51,,7,,242,242,96,12,,,33902,1011,,,,,,1711,,114,0,,,,,,382,,0,35613,1125,,,,,,0,,0
4/16/20,NM,A,44,,8,,230,230,90,15,,,32891,981,,,,,,1597,,113,0,,,,,,353,,0,34488,1094,,,,,,0,,0
4/15/20,NM,A,36,,0,,215,215,90,34,,,31910,467,,,,,,1484,,77,0,,,,,,353,,0,33394,544,,,,,,0,,0
4/14/20,NM,A,36,,5,,181,181,87,0,,,31443,818,,,,,,1407,,62,0,,,,,,340,,0,32850,880,,,,,,0,,0
4/13/20,NM,A,31,,5,,181,181,87,181,,,30625,1355,,,,,,1345,,100,0,,,,,,304,,0,31970,1455,,,,,,0,,0
4/12/20,NM,A,26,,6,,,,80,0,,,29270,1752,,,,,,1245,,71,0,,,,,,235,,0,30515,1823,,,,,,0,,0
4/11/20,NM,A,20,,1,,,,78,0,,,27518,1511,,,,,18,1174,,83,0,,,,,,235,,0,28692,1594,,,,,,0,,0
4/10/20,NM,A,19,,0,,,,75,0,,,26007,0,,,,,18,1091,,0,0,,,,,,235,,0,27098,0,,,,,,0,,0
4/9/20,NM,A,19,,3,,,,73,0,,,26007,3065,,,,,18,1091,,226,0,,,,,,217,,0,27098,3291,,,,,,0,,0
4/8/20,NM,A,16,,3,,,,59,0,,,22942,1491,,,,,18,865,,71,0,,,,,,201,,0,23807,1562,,,,,,0,,0
4/7/20,NM,A,13,,1,,,,51,0,,,21451,312,,,,,18,794,,108,0,,,,,,171,,0,22245,420,,,,,,0,,0
4/6/20,NM,A,12,,0,,,,48,0,,,21139,2627,,,,,18,686,,62,0,,,,,,133,,0,21825,2689,,,,,,0,,0
4/5/20,NM,A,12,,1,,,,45,0,,,18512,2227,,,,,18,624,,81,0,,,,,,130,,0,19136,2308,,,,,,0,,0
4/4/20,NM,A,11,,1,,,,37,0,,,16285,1148,,,,,18,543,,48,0,,,,,,54,,0,16828,1196,,,,,,0,,0
4/3/20,NM,A,10,,3,,,,41,0,,,15137,762,,,,,18,495,,92,0,,,,,,26,,0,15632,854,,,,,,0,,0
4/2/20,NM,A,7,,1,,,,31,0,,,14375,727,,,,,,403,,40,0,,,,,,26,,0,14778,767,,,,,,0,,0
4/1/20,NM,A,6,,1,,,,31,0,,,13648,723,,,,,,363,,48,0,,,,,,26,,0,14011,771,,,,,,0,,0
3/31/20,NM,A,5,,1,,,,24,0,,,12925,679,,,,,,315,,34,0,,,,,,26,,0,13240,713,,,,,,0,,0
3/30/20,NM,A,4,,2,,,,22,0,,,12246,1304,,,,,,281,,44,0,,,,,,26,,0,12527,1348,,,,,,0,,0
3/29/20,NM,A,2,,0,,,,22,0,,,10942,173,,,,,,237,,0,0,,,,,,26,,0,11179,173,,,,,,0,,0
3/28/20,NM,A,2,,1,,,,19,0,,,10769,1573,,,,,,237,,46,0,,,,,,2,,0,11006,1619,,,,,,0,,0
3/27/20,NM,A,1,,0,,,,17,0,,,9196,819,,,,,,191,,55,0,,,,,,,,0,9387,874,,,,,,0,,0
3/26/20,NM,A,1,,0,,,,,0,,,8377,696,,,,,,136,,24,0,,,,,,,,0,8513,720,,,,,,0,,0
3/25/20,NM,A,1,,0,,,,,0,,,7681,939,,,,,,112,,12,0,,,,,,,,0,7793,951,,,,,,0,,0
3/24/20,NM,A,1,,1,,,,,0,,,6742,852,,,,,,100,,17,0,,,,,,,,0,6842,869,,,,,,0,,0
3/23/20,NM,A,,,0,,,,,0,,,5890,569,,,,,,83,,18,0,,,,,,,,0,5973,587,,,,,,0,,0
3/22/20,NM,A,,,0,,,,,0,,,5321,599,,,,,,65,,8,0,,,,,,,,0,5386,607,,,,,,0,,0
3/21/20,NM,,,,0,,,,,0,,,4722,951,,,,,,57,,0,0,,,,,,,,0,4779,951,,,,,,0,,0
3/20/20,NM,,,,0,,,,,0,,,3771,0,,,,,,57,,14,0,,,,,,,,0,3828,14,,,,,,0,,0
3/19/20,NM,,,,0,,,,,0,,,3771,1009,,,,,,43,,8,0,,,,,,,,0,3814,1017,,,,,,0,,0
3/18/20,NM,,,,0,,,,,0,,,2762,436,,,,,,35,,7,0,,,,,,,,0,2797,443,,,,,,0,,0
3/17/20,NM,,,,0,,,,,0,,,2326,1077,,,,,,28,,5,0,,,,,,,,0,2354,1082,,,,,,0,,0
3/16/20,NM,,,,0,,,,,0,,,1249,683,,,,,,23,,6,0,,,,,,,,0,1272,689,,,,,,0,,0
3/15/20,NM,,,,0,,,,,0,,,566,84,,,,,,17,,4,0,,,,,,,,0,583,88,,,,,,0,,0
3/14/20,NM,,,,0,,,,,0,,,482,245,,,,,,13,,3,0,,,,,,,,0,495,248,,,,,,0,,0
3/13/20,NM,,,,0,,,,,0,,,237,47,,,,,,10,,0,0,,,,,,,,0,247,47,,,,,,0,,0
3/12/20,NM,,,,0,,,,,0,,,190,35,,,,,,10,,5,0,,,,,,,,0,200,40,,,,,,0,,0
3/11/20,NM,,,,0,,,,,0,,,155,68,,,,,,5,,2,0,,,,,,,,0,160,70,,,,,,0,,0
3/10/20,NM,,,,0,,,,,0,,,87,18,,,,,,3,,3,0,,,,,,,,0,90,21,,,,,,0,,0
3/9/20,NM,,,,0,,,,,0,,,69,12,,,,,,0,,0,0,,,,,,,,0,69,12,,,,,,0,,0
3/8/20,NM,,,,0,,,,,0,,,57,9,,,,,,0,,0,0,,,,,,,,0,57,9,,,,,,0,,0
3/7/20,NM,,,,0,,,,,0,,,48,0,,,,,,0,,0,0,,,,,,,,0,48,0,,,,,,0,,0
3/6/20,NM,,,,0,,,,,0,,,48,32,,,,,,0,,0,0,,,,,,,,0,48,32,,,,,,0,,0
3/5/20,NM,,,,0,,,,,0,,,16,0,,,,,,0,,0,0,,,,,,,,0,16,0,,,,,,0,,0